comparison_id,comparison,metric,metric_label,pair_count,mean_left_minus_right,median_left_minus_right,bootstrap_ci_low,bootstrap_ci_high,left_lower_count,left_higher_count,ties,wilcoxon_p,rank_biserial,wilcoxon_p_holm
radius_vs_fixed_12,Radius TSK - Fixed K=12,consequent_dimension,Dimension,30,-95.9,-81.0,-120.93499999999997,-71.86666666666666,29,0,1,1.8116893653409467e-06,-1.0,5.43506809602284e-06
radius_vs_fixed_12,Radius TSK - Fixed K=12,localized_gaussian_kl,Gaussian KL,30,-22.916757620891918,-9.336354105330155,-40.69844368670441,-10.461005858258853,27,3,0,1.218356192111969e-05,-0.8365591397849462,2.436712384223938e-05
radius_vs_fixed_12,Radius TSK - Fixed K=12,localized_certificate_familywise,Certificate,30,-0.06313637213877712,-0.05875166206584191,-0.08330042412133089,-0.046034489451906274,28,2,0,1.0244548320770264e-07,-0.9526881720430107,4.0978193283081055e-07
radius_vs_fixed_12,Radius TSK - Fixed K=12,test_rmse_scaled,Test RMSE,30,-0.03346918546740912,-0.013228500023198975,-0.06115377903277942,-0.01286505205749196,24,6,0,0.00012333691120147705,-0.7548387096774194,0.00012333691120147705
radius_vs_best_fixed,Radius TSK - Best fixed K,consequent_dimension,Dimension,30,-14.7,-3.5,-27.6,-4.133333333333334,18,6,6,0.016452951770716404,-0.5333333333333333,0.06581180708286562
radius_vs_best_fixed,Radius TSK - Best fixed K,localized_gaussian_kl,Gaussian KL,30,-4.856682801967094,-1.3034595018597692,-10.549886149932549,0.3044235302579874,17,7,6,0.036845486012811755,-0.47333333333333333,0.11053645803843526
radius_vs_best_fixed,Radius TSK - Best fixed K,localized_certificate_familywise,Certificate,30,-0.006794952201043022,-0.0010564417259682074,-0.0189676847988359,0.004685293508736343,16,14,0,0.38198381460150077,-0.1827956989247312,0.38198381460150077
radius_vs_best_fixed,Radius TSK - Best fixed K,test_rmse_scaled,Test RMSE,30,-0.005359868649855224,0.0,-0.011621326803627392,-0.0002553356723876706,14,10,6,0.14225889036523173,-0.3933333333333333,0.28451778073046347
top3_vs_all_active,Radius Top-3 - Radius all-active,consequent_dimension,Dimension,30,0.5333333333333333,0.0,-1.6,3.2,1,1,28,0.9808795062755976,0.3333333333333333,1.0
top3_vs_all_active,Radius Top-3 - Radius all-active,localized_gaussian_kl,Gaussian KL,30,0.2008644589527009,0.0,-0.7180786609981261,1.3065347080873237,6,11,14,0.20416591523665018,0.35294117647058826,0.8166636609466007
top3_vs_all_active,Radius Top-3 - Radius all-active,localized_certificate_familywise,Certificate,30,-1.5416151236371614e-05,0.0,-0.0017876204285191513,0.001409832410765857,7,10,16,0.5185081880739527,0.12380952380952381,1.0
top3_vs_all_active,Radius Top-3 - Radius all-active,test_rmse_scaled,Test RMSE,30,0.003039538800724448,0.0,-9.520285314095986e-05,0.009155742483735992,9,8,18,0.948520615492272,0.1794871794871795,1.0
radius_vs_ridge,Radius TSK - Ridge,consequent_dimension,Dimension,30,26.3,14.0,14.3,39.93416666666659,1,18,11,7.357248750647306e-05,0.9894736842105263,0.00014714497501294613
radius_vs_ridge,Radius TSK - Ridge,localized_gaussian_kl,Gaussian KL,30,11.470984115909623,3.964583133883992,6.252182478601439,17.464411023082814,6,24,0,1.218356192111969e-05,0.8365591397849462,3.655068576335907e-05
radius_vs_ridge,Radius TSK - Ridge,localized_certificate_familywise,Certificate,30,0.044487628558666295,0.029042915423408158,0.029622876931876284,0.060870706165448756,0,30,0,1.862645149230957e-09,1.0,7.450580596923828e-09
radius_vs_ridge,Radius TSK - Ridge,test_rmse_scaled,Test RMSE,30,-0.005224146655740763,-0.004642989324741109,-0.019423046044594324,0.013721439080529129,23,7,7,0.007612137123942375,-0.572463768115942,0.007612137123942375
