timestamp,zone_1,zone_2,zone_3
2017-01-01 00:00:00,26927.5949366667,17052.5835866667,18147.4698800000
2017-01-01 02:00:00,21447.0886066667,13775.0759875000,15280.0000000000
2017-01-01 04:00:00,20641.5189866667,12995.7446808333,14356.1445775000
2017-01-01 06:00:00,20094.6835450000,12523.1003041667,13033.2530116667
2017-01-01 08:00:00,21255.1898725000,12776.5957441667,12108.4337350000
2017-01-01 10:00:00,27986.8354425000,17002.4316116667,15401.4457833333
2017-01-01 12:00:00,30060.7594950000,18282.9787250000,17075.6626508333
2017-01-01 14:00:00,29558.4810116667,17910.9422483333,16733.9759041667
2017-01-01 16:00:00,31576.7088600000,19299.0881458333,19332.0481916667
2017-01-01 18:00:00,39969.1139241667,24527.0516708333,25957.5903608333
2017-01-01 20:00:00,39542.2784800000,25121.2765958333,25919.0361458333
2017-01-01 22:00:00,32522.5316441667,21586.6261400000,21080.4819266667
2017-01-02 00:00:00,23907.8481000000,15959.2705166667,15982.1686750000
2017-01-02 02:00:00,20521.5189858333,13651.0638308333,13980.2409633333
2017-01-02 04:00:00,20452.6582266667,13579.6352575000,13828.4337358333
2017-01-02 06:00:00,23101.2658225000,15528.8753791667,13759.0361441667
2017-01-02 08:00:00,24436.9620250000,17303.6474158333,12748.4337366667
2017-01-02 10:00:00,27304.8101266667,20388.7537991667,15948.4337366667
2017-01-02 12:00:00,29533.6708858333,19761.3981758333,18573.0120483333
2017-01-02 14:00:00,28791.3924050000,20748.6322191667,17392.7710833333
2017-01-02 16:00:00,33509.8734191667,22558.9665666667,19397.5903625000
2017-01-02 18:00:00,41623.2911391667,26922.7963533333,25526.2650625000
2017-01-02 20:00:00,40278.9873425000,26328.5714283333,25322.4096383333
2017-01-02 22:00:00,32971.6455691667,21961.0942258333,21390.3614458333
2017-01-03 00:00:00,23953.4177208333,16293.3130700000,16111.3253025000
2017-01-03 02:00:00,20964.5569616667,13868.9969591667,13970.1204816667
2017-01-03 04:00:00,20575.6962041667,13830.6990891667,13824.0963858333
